Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
3.54813389233575e+000	(2.61604034828705e+000dB,1.79436699489089e+002°)	(5.23179946862483e+000dB,1.78870936056535e+002°)	(1.04629434776242e+001dB,1.77690706405371e+002°)	(2.09108743898682e+001dB,1.74768875887653e+002°)	(-2.61607602255083e+000dB,-1.79436782588540e+002°)	(-5.23183871167253e+000dB,-1.78871140183563e+002°)	(-1.04629929191638e+001dB,-1.77690814204299e+002°)
3.63078054770101e+000	(2.61584707967339e+000dB,1.79423652274949e+002°)	(5.23141550735932e+000dB,1.78844780615451e+002°)	(1.04621382133438e+001dB,1.77637224184764e+002°)	(2.09085801723640e+001dB,1.74648186639622e+002°)	(-2.61588275464676e+000dB,-1.79423737309725e+002°)	(-5.23145480302594e+000dB,-1.78844989478335e+002°)	(-1.04621876689333e+001dB,-1.77637334487733e+002°)
3.71535229097172e+000	(2.61564476838265e+000dB,1.79410306398222e+002°)	(5.23101357627826e+000dB,1.78818026170921e+002°)	(1.04612952745933e+001dB,1.77582518122270e+002°)	(2.09061792489393e+001dB,1.74524768234762e+002°)	(-2.61568044409875e+000dB,-1.79410393413380e+002°)	(-5.23105292702782e+000dB,-1.78818239878630e+002°)	(-1.04613447448871e+001dB,-1.77582630987114e+002°)
3.80189396320560e+000	(2.61543299455397e+000dB,1.79396655273985e+002°)	(5.23059284054584e+000dB,1.78790659496045e+002°)	(1.04604129123260e+001dB,1.77526561264180e+002°)	(2.09036667256244e+001dB,1.74398562868436e+002°)	(-2.61546867104747e+000dB,-1.79396744315632e+002°)	(-5.23063224895698e+000dB,-1.78790878159991e+002°)	(-1.04604623980088e+001dB,-1.77526676750049e+002°)
3.89045144994280e+000	(2.61521131914170e+000dB,1.79382692190117e+002°)	(5.23015242713389e+000dB,1.78762667106964e+002°)	(1.04594892975956e+001dB,1.77469326138300e+002°)	(2.09010374905571e+001dB,1.74269511789542e+002°)	(-2.61524699644886e+000dB,-1.79382783305431e+002°)	(-5.23019189590509e+000dB,-1.78762890841053e+002°)	(-1.04595387993836e+001dB,-1.77469444305683e+002°)
3.98107170553496e+000	(2.61497928306845e+000dB,1.79368410306160e+002°)	(5.22969142313143e+000dB,1.78734035260440e+002°)	(1.04585225180312e+001dB,1.77410784749477e+002°)	(2.08982862049063e+001dB,1.74137555305605e+002°)	(-2.61501496122721e+000dB,-1.79368503543415e+002°)	(-5.22973095508655e+000dB,-1.78734264181121e+002°)	(-1.04585720366732e+001dB,-1.77410905660230e+002°)
4.07380277804112e+000	(2.61473640634378e+000dB,1.79353802652275e+002°)	(5.22920887398501e+000dB,1.78704749951620e+002°)	(1.04575105741677e+001dB,1.77350908575546e+002°)	(2.08954072934768e+001dB,1.74002632789744e+002°)	(-2.61477208539384e+000dB,-1.79353898060868e+002°)	(-5.22924847207899e+000dB,-1.78704984177937e+002°)	(-1.04575601104473e+001dB,-1.77351032292927e+002°)
4.16869383470335e+000	(2.61448218714712e+000dB,1.79338862128310e+002°)	(5.22870378166736e+000dB,1.78674796912014e+002°)	(1.04564513756299e+001dB,1.77289668563743e+002°)	(2.08923949349904e+001dB,1.73864682689684e+002°)	(-2.61451786712999e+000dB,-1.79338959758787e+002°)	(-5.22874344899221e+000dB,-1.78675036565661e+002°)	(-1.04565009303661e+001dB,-1.77289795152437e+002°)
4.26579518801592e+000	(2.61421610087395e+000dB,1.79323581502987e+002°)	(5.22817510277202e+000dB,1.78644161607697e+002°)	(1.04553427371618e+001dB,1.77227035127610e+002°)	(2.08892430520393e+001dB,1.73723642538952e+002°)	(-2.61425178183305e+000dB,-1.79323681407070e+002°)	(-5.22821484256310e+000dB,-1.78644406813067e+002°)	(-1.04553923112113e+001dB,-1.77227164653759e+002°)
4.36515832240165e+000	(2.61393759914413e+000dB,1.79307953413221e+002°)	(5.22762174653183e+000dB,1.78612829237769e+002°)	(1.04541823745000e+001dB,1.77162978144466e+002°)	(2.08859453007067e+001dB,1.73579448970445e+002°)	(-2.61397328112489e+000dB,-1.79308055643834e+002°)	(-5.22766156217432e+000dB,-1.78613080122009e+002°)	(-1.04542319687586e+001dB,-1.77163110675703e+002°)
4.46683592150962e+000	(2.61364610877114e+000dB,1.79291970363582e+002°)	(5.22704257275858e+000dB,1.78580784733089e+002°)	(1.04529679000834e+001dB,1.77097466953484e+002°)	(2.08824950598527e+001dB,1.73432037732529e+002°)	(-2.61368179182108e+000dB,-1.79292074974878e+002°)	(-5.22708246779437e+000dB,-1.78581041426155e+002°)	(-1.04530175154878e+001dB,-1.77097602558960e+002°)
